"id","scientific_name","common_name","mass","max_freq_kHz","migratory_status","nest_height_m","habitat","food","behavior"
"PAWA","Setophaga palmarum","Palm Warbler",10.3,8,"Neotropical migrant",0,"Open Woodland","Insects","Ground Forager"
"PHVI","Vireo philadelphicus","Philadelphia Vireo",11.5,7,"Neotropical migrant",9,"Forest","Insects","Foliage Gleaner"
"PIGR","Pinicola enucleator","Pine Grosbeak",56.4,4.5,"Nomadic",4,"Open Woodland","Seeds","Foliage Gleaner"
"PISI","Spinus pinus","Pine Siskin",12.7,8,"Short distance migrant",5,"Open Woodland","Seeds","Foliage Gleaner"
"PIWA","Setophaga pinus","Pine Warbler",11.79,5.7,"Short distance migrant",12,"Forest","Insects","Bark Forager"
"PIWO","Dryocopus pileatus","Pileated Woodpecker",286.59,6,"Resident",10,"Forest","Insects","Bark Forager"
"PUFI","Carpodacus purpureus","Purple Finch",23.3,6,"Short distance migrant",4,"Forest","Seeds","Foliage Gleaner"
"RBGR","Pheucticus ludovicianus","Rose-breasted Grosbeak",42,9,"Neotropical migrant",3,"Forest","Insects","Foliage Gleaner"
"RBNU","Sitta canadensis","Red-breasted Nuthatch",9.8,8,"Resident",6,"Forest","Insects","Bark Forager"
"RCKI","Regulus calendula","Ruby-crowned Kinglet",6.19,7,"Short distance migrant",5,"Forest","Insects","Foliage Gleaner"
"RECR","Loxia curvirostra","Red Crossbill",38.29,6,"Nomadic",8,"Forest","Seeds","Foliage Gleaner"
"REVI","Vireo olivaceus","Red-eyed Vireo",16.06,6,"Neotropical migrant",2,"Forest","Insects","Foliage Gleaner"
"ROSA","Calidris ptilocnemis","Rock Sandpiper",81.32,7,"Short distance migrant",0,"Shore-line","Insects","Probing"
"RTHU","Archilochus colubris","Ruby-throated Hummingbird",3.09,6,"Neotropical migrant",4,"Open Woodland","Nectar","Hovering"
"RUBL","Euphagus carolinus","Rusty Blackbird",59.57,9.5,"Short distance migrant",1,"Forest","Insects","Ground Forager"
"RUGR","Bonasa umbellus","Ruffed Grouse",530.91,4,"Resident",0,"Forest","Omnivore","Foliage Gleaner"
"RWBL","Agelaius phoeniceus","Red-winged Blackbird",50.78,6,"Short distance migrant",1,"Marsh","Insects","Ground Forager"
"SAVS","Passerculus sandwichensis","Savannah Sparrow",19.97,10,"Short distance migrant",0,"Grassland","Insects","Ground Forager"
"SCTA","Piranga olivacea","Scarlet Tanager",28.2,5,"Neotropical migrant",6,"Forest","Insects","Foliage Gleaner"
"SEWR","Cistothorus platensis","Sedge Wren",9.04,7.8,"Short distance migrant",0,"Marsh","Insects","Ground Forager"
"SOSA","Tringa solitaria","Solitary Sandpiper",48.4,5.8,"Neotropical migrant",7,"Marsh","Insects","Probing"
"SOSP","Melospiza melodia","Song Sparrow",21.91,9,"Short distance migrant",0,"Open Woodland","Insects","Ground Forager"
"SPGR","Falcipennis canadensis","Spruce Grouse",473.65,6,"Resident",0,"Forest","Plants","Foliage Gleaner"
"SPSA","Actitis macularius","Spotted Sandpiper",40.4,5.426,"Neotropical migrant",0,"Shore-line","Small Animals","Probing"
"SWSP","Melospiza georgiana","Swamp Sparrow",16.1,7.66,"Short distance migrant",2,"Marsh","Insects","Ground Forager"
"SWTH","Catharus ustulatus","Swainson's Thrush",30.3,6.05,"Neotropical migrant",2,"Forest","Insects","Foliage Gleaner"
"TEWA","Oreothlypis peregrina","Tennessee Warbler",8.9,10,"Neotropical migrant",0,"Forest","Insects","Foliage Gleaner"
"TOSO","Myadestes townsendi","Townsend's Solitaire",33.2,5.5,"Short distance migrant",0,"Open Woodland","Insects","Flycatching"
"TOWA","Setophaga townsendi","Townsend's Warbler",8.84,8.2,"Neotropical migrant",11,"Forest","Insects","Foliage Gleaner"
"TRES","Tachycineta bicolor","Tree Swallow",21.2,5.95,"Neotropical migrant",4,"Lake/Pond","Insects","Aerial Forager"
"UPSA","Bartramia longicauda","Upland Sandpiper",158.92,4,"Neotropical migrant",0,"Grassland","Insects","Ground Forager"
"VATH","Ixoreus naevius","Varied Thrush",77.5,5.85,"Short distance migrant",6,"Forest","Insects","Ground Forager"
"VEER","Catharus fuscescens","Veery",31.9,5.6,"Neotropical migrant",0,"Forest","Insects","Ground Forager"
"VESP","Pooecetes gramineus","Vesper Sparrow",25.68,6.85,"Short distance migrant",0,"Grassland","Insects","Ground Forager"
"WAVI","Vireo gilvus","Warbling Vireo",12.67,6.9,"Neotropical migrant",8,"Open Woodland","Insects","Foliage Gleaner"
"WBNU","Sitta carolinensis","White-breasted Nuthatch",21,2.9,"Resident",5,"Forest","Insects","Bark Forager"
"WCSP","Zonotrichia leucophrys","White-crowned Sparrow",28,7,"Short distance migrant",1,"Scrub","Insects","Ground Forager"
"WETA","Piranga ludoviciana","Western Tanager",28.1,4.42,"Neotropical migrant",11,"Forest","Insects","Foliage Gleaner"
"WEWP","Contopus sordidulus","Western Wood-Pewee",13.1,5.25,"Neotropical migrant",8,"Open Woodland","Insects","Flycatching"
"WIPT","Lagopus lagopus","Willow Ptarmigan",566.86,7,"Resident",0,"Scrub","Plants","Foliage Gleaner"
"WISN","Gallinago delicata","Wilson's Snipe",112.94,2.4,"Neotropical migrant",0,"Marsh","Insects","Probing"
"WIWA","Cardellina pusilla","Wilson's Warbler",6.96,8.1,"Neotropical migrant",0,"Scrub","Insects","Foliage Gleaner"
"WIWR","Troglodytes hiemalis","Winter Wren",9.74,9,"Short distance migrant",1,"Forest","Insects","Ground Forager"
"WOTH","Hylocichla mustelina","Wood Thrush",50.09,4.43,"Neotropical migrant",2,"Forest","Insects","Ground Forager"
"WTSP","Zonotrichia albicollis","White-throated Sparrow",24.4,6.6,"Short distance migrant",0,"Forest","Seeds","Ground Forager"
"WWCR","Loxia leucoptera","White-winged Crossbill",28.69,6.2,"Nomadic",12,"Forest","Seeds","Foliage Gleaner"
"YBCU","Coccyzus americanus","Yellow-billed Cuckoo",64,0.9,"Neotropical migrant",2,"Open Woodland","Insects","Foliage Gleaner"
"YBFL","Empidonax flaviventris","Yellow-bellied Flycatcher",11.8,4,"Neotropical migrant",0,"Forest","Insects","Flycatching"
"YBSA","Sphyrapicus varius","Yellow-bellied Sapsucker",50.3,2.41,"Short distance migrant",8,"Forest","Insects","Bark Forager"
"YEWA","Setophaga petechia","Yellow Warbler",10.22,6.75,"Neotropical migrant",1,"Open Woodland","Insects","Foliage Gleaner"
"YHBL","Xanthocephalus xanthocephalus","Yellow-headed Blackbird",62.68,7.3,"Neotropical migrant",0,"Marsh","Insects","Ground Forager"
"YRWA","Setophaga coronata","Yellow-rumped Warbler",11.94,5.8,"Short distance migrant",4,"Forest","Insects","Foliage Gleaner"
"YTVI","Vireo flavifrons","Yellow-throated Vireo",18,5,"Neotropical migrant",12,"Open Woodland","Insects","Foliage Gleaner"
